conflict_id,priority,area,source,issue,design_control
CF-001,P1,scope,data/static_groups.json:58,"Code inventory exposes six uncovered adjective-tab entries if potencial is counted; official scope says five remain after four of nine.","Add route manifest statuses and keep potencial reserved until scope authority is resolved."
CF-002,P1,route validation,scripts/check_grammar_data.js:376,"Grammar data checks do not validate nawatRouteProfiles.","Add validation for route id, compatibility alias, Nawat mode/tense, routePlacement, centerline, and station order."
CF-003,P1,station geometry,src/ui/state.js:1303,"Current non-agentive station builder assumes patientivo-tronco stem route.","Add routePlacement-specific station builders before adding direct finite or patientivo-surface routes."
CF-004,P1,renderer switching,src/ui/rendering/rendering.js:893,"Renderer injects patientivo branch/conversion around non-agentive stem parts.","Gate the injection behind routePlacement=patientivo-tronco-conversion."
CF-005,P1,state travel,src/ui/state.js:2020,"Route state can clear when moving outside European adjective mode, which can affect Nawat verb/noun/adverb station travel.","Preserve route state for valid active Nawat route station modes."
CF-006,P1,generation contract,src/ui/state.js:1163,"routeMode and routeTenseValue are route contracts.","Keep route fields hidden from visible destination text but required; validate them and never use them as visible destination text."
CF-007,P1,target generation,src/ui/state.js:1038,"Route finite generation hard-codes active derivation/voice.","Let route profiles specify target derivationMode, voiceMode, combinedMode, and source scope."
CF-008,P1,hard-coded inventories,src/ui/composer/composer.js:9277,"Adjective/adverb inventories are hard-coded in runtime constants.","Update classifications or introduce route manifest references for every connected output."
CF-009,P2,patientivo surface,src/core/generation/morphology_engine.js:596,"Patientivo adjective outputs use special derivation behavior and do not fully match generic noun patientivo suffix controls.","Add explicit patientivo surface profiles and tests for nonactive/perfective -ti routes."
CF-010,P2,adverb placement,src/ui/rendering/rendering.js:4210,"Agentive route profile exists but route placement is not visible from the European adverb output without special rendering hookup.","Expose adverb alias through Nawat agentivo route placement only."
CF-011,P2,visible labels,src/ui/state.js:1656,"European label formatter exists and could leak into Nawat breadcrumbs.","Visible route text must derive from Nawat centerline labels; keep European labels debug/backend only."
CF-012,P2,generated wrappers,src/bootstrap/runtime_paths.mjs:93,"Browser/module runtimes load generated .mjs mirrors.","Regenerate touched wrappers with scripts/generate_native_module_wrapper.mjs after source edits."
CF-013,P2,rail shell naming,index.html:1001,"Permanent rail still has aria-label='Conversión actual'.","When routes broaden beyond conversion, change user-facing aria label to 'Ruta nawat actual' while keeping DOM id if needed."
